3.193155591 -0.078995896  4.113770683 0.009467915   4.122867470 0.002037121
3.206511891 -0.076546802  4.153777516 0.009642268   4.163134426 0.001848049
3.217221737 -0.074402354  4.188318314 0.009650924   4.203170158 0.001437372
3.228988765 -0.072192245  4.217424343 0.009650924   4.239552694 0.001437372
3.242833745 -0.069697026  4.256176256 0.009310166   4.275927760 0.001642710
3.255502490 -0.067483009  4.293257155 0.009038949   4.312310296 0.001642710
3.269151950 -0.065268992  4.325636259 0.008612751   4.348707774 0.001232033
3.274959716 -0.063165676  4.384866188 0.007392197   4.396020013 0.000821355
3.290570606 -0.060951659  4.428562586 0.006365503   4.454247013 0.000410678
3.304201942 -0.058239488  4.475809116 0.005219770   4.511301135 0.000099856
3.315881413 -0.055790232  4.517046474 0.003919035   4.546608893 0.000044505
3.332252730 -0.052912564  4.552387459 0.002950403   4.584271615 -0.000045162
3.349016796 -0.050047626  4.581533595 0.001848049   4.615736038 0.000409220
3.362662229 -0.047722908  4.632499029 0.001026694   4.649562554 0.000633389
3.372388828 -0.045508891  4.681951605 -0.000066195  4.687823975 0.000261457
3.384078872 -0.043350225  4.718237930 -0.000062505  4.723137693 0.000042280
3.391880289 -0.042132516  4.752573161 -0.000342948  4.758453002 -0.000220634
3.397690070 -0.040084550  4.785380389 -0.001026694  4.796725983 -0.000910289
3.425009128 -0.036210021  4.814516301 -0.001848049  4.829073974 -0.000481324
3.438651036 -0.033788440  4.852676585 -0.002280212  4.864372670 -0.000287597
3.450332521 -0.031394534  4.882104079 -0.002446264  4.899677407 -0.000259922
3.464965716 -0.029263543  4.928199703 -0.002501614  4.934982144 -0.000232247
3.479578774 -0.026579047  4.967352837 -0.002669405  4.970293929 -0.000398298
3.497151095 -0.024365030  5.011011881 -0.002669405  5.004141186 -0.000744238
3.505911076 -0.022538466                            5.026240202 -0.001649217
3.522014337 -0.020379800
3.538115585 -0.018165783
3.555687905 -0.015951766
3.573266267 -0.013903801
3.587913559 -0.012160262
3.602559341 -0.010375211
3.627204792 -0.008490530
3.646517832 -0.005601238
3.669971925 -0.003318033
3.690498977 -0.001449956
3.716918878 0.000182881
3.736261842 0.002249666
3.749156112 0.003656120
3.773478868 0.005531359
