3.506695951 -0.014113128  4.530362793 0.004562277   4.577987783 0.001137163
3.536159636 -0.011863653  4.572207007 0.003239274   4.615501678 0.000978208
3.561051370 -0.009565967  4.619567931 0.002085902   4.663166178 0.000508775
3.585943105 -0.007238209  4.665001015 0.001645577   4.704584009 0.000233638
3.610834839 -0.005060813  4.709896906 0.000852687   4.744289243 -0.000107618
3.639282535 -0.002763535  4.759206179 0.000085354   4.791055685 -0.000324271
3.664174269 -0.001292840  4.805352778 -0.000461235  4.862514108 -0.000607860
3.689066004 0.001019882   4.835435612 -0.001021019  4.909811643 -0.000613278
3.722565524 0.003280055
3.746418891 0.004841086
3.778565212 0.006495117
3.814286467 0.008828683
3.849084295 0.011304349
3.884643916 0.013321139
3.912075623 0.014900663
3.948651232 0.016814232
3.987766815 0.018908803
4.030438359 0.020858620
4.073109903 0.022417496
4.107145540 0.023827858
4.151341068 0.024573746
4.194012613 0.024929727
4.236684157 0.024714333
4.280879685 0.023905909
4.323551230 0.023385495
4.364698790 0.021722505
4.407370335 0.020003492
4.446485917 0.017948076
4.478489575 0.015995720
4.508461255 0.014059063
4.546052854 0.011765820
4.581612474 0.009596536
4.620728057 0.007378729
4.659843639 0.005184980
4.698959221 0.002919057
4.753314641 0.000627351
4.801291907 -0.000500866
4.836625552 -0.001476568
4.873200961 -0.002549160
4.900463737 -0.004086828
4.940764640 -0.004265864
4.979880222 -0.004847734
